Date,Customer,Product,Category,Quantity,Unit_Price,Revenue
2026-04-27,Aditya Jain,Laptop,Electronics,5,55000,275000.0
2026-03-10,Aditya Jain,Monitor,Electronics,5,12000,60000.0
2026-03-17,Arjun Verma,Tablet,Electronics,3,22000,66000.0
2026-03-27,Pooja Nair,Desk,Furniture,5,12000,60000.0
2026-03-10,Arjun Verma,Laptop,Electronics,4,55000,220000.0
2026-05-24,Arjun Verma,Tablet,Electronics,2,22000,44000.0
2026-02-08,Pooja Nair,Keyboard,Accessories,1,1800,1800.0
2026-04-11,Simran Kaur,Backpack,Accessories,2,2200,4400.0
2026-03-10,Priya Singh,Keyboard,Accessories,2,1800,3600.0
2026-05-18,Simran Kaur,Tablet,Electronics,3,22000,66000.0
2026-04-06,Vikram Shah,Laptop,Electronics,5,55000,275000.0
2026-01-04,Aarav Sharma,Office Chair,Furniture,2,8500,17000.0
2026-05-08,Ananya Gupta,Keyboard,Accessories,4,1800,7200.0
2026-06-12,Vikram Shah,Laptop,Electronics,1,55000,55000.0
2026-06-28,Rohan Mehta,Mouse,Accessories,4,900,3600.0
2026-03-06,Rahul Joshi,Laptop,Electronics,2,55000,110000.0
2026-02-13,Rohan Mehta,Smartphone,Electronics,5,30000,150000.0
2026-02-04,Simran Kaur,Backpack,Accessories,1,2200,2200.0
2026-01-08,Simran Kaur,Tablet,Electronics,2,22000,44000.0
2026-06-11,Aditya Jain,Headphones,Electronics,1,2500,2500.0
2026-02-27,Vikram Shah,Mouse,Accessories,2,900,1800.0
2026-03-16,Karan Patel,Office Chair,Furniture,4,8500,34000.0
2026-01-21,Simran Kaur,Desk,Furniture,4,12000,48000.0
2026-04-11,Aarav Sharma,Desk,Furniture,3,12000,36000.0
2026-04-09,Aarav Sharma,Keyboard,Accessories,2,1800,3600.0
2026-04-06,Sneha Agarwal,Office Chair,Furniture,5,8500,42500.0
2026-04-23,Aditya Jain,Backpack,Accessories,5,2200,11000.0
2026-04-09,Aarav Sharma,Desk,Furniture,1,12000,12000.0
2026-03-03,Neha Kapoor,Keyboard,Accessories,1,1800,1800.0
2026-05-21,Priya Singh,Headphones,Electronics,1,2500,2500.0
2026-05-20,Sneha Agarwal,Desk,Furniture,3,12000,36000.0
2026-01-09,Pooja Nair,Backpack,Accessories,4,2200,8800.0
2026-05-08,Simran Kaur,Keyboard,Accessories,3,1800,5400.0
2026-04-21,Rohan Mehta,Mouse,Accessories,5,900,4500.0
2026-05-20,Rahul Joshi,Desk,Furniture,4,12000,48000.0
2026-02-22,Aditya Jain,Backpack,Accessories,1,2200,2200.0
2026-04-19,Simran Kaur,Mouse,Accessories,2,900,1800.0
2026-06-16,Rohan Mehta,Tablet,Electronics,5,22000,110000.0
2026-03-16,Karan Patel,Smartphone,Electronics,4,30000,120000.0
2026-03-15,Aarav Sharma,Tablet,Electronics,4,22000,88000.0
2026-01-07,Karan Patel,Office Chair,Furniture,2,8500,17000.0
2026-06-27,Arjun Verma,Tablet,Electronics,2,22000,44000.0
2026-01-29,Ishita Malhotra,Mouse,Accessories,3,900,2700.0
2026-04-19,Aarav Sharma,Laptop,Electronics,4,55000,220000.0
2026-03-12,Priya Singh,Desk,Furniture,5,12000,60000.0
2026-02-05,Manish Kumar,Monitor,Electronics,4,12000,48000.0
2026-01-19,Simran Kaur,Monitor,Electronics,3,12000,36000.0
2026-02-22,Pooja Nair,Smartphone,Electronics,4,30000,120000.0
2026-02-14,Aditya Jain,Laptop,Electronics,1,55000,55000.0
2026-02-23,Ishita Malhotra,Office Chair,Furniture,1,8500,8500.0
